Han,Lang,Had_URL,Built_From_Title,Final_URL,OK
Shimotsuma Han,en,False,True,https://en.wikipedia.org/wiki/Shimotsuma_Han,True
Tsuchiura Han,en,False,True,https://en.wikipedia.org/wiki/Tsuchiura_Han,True
Fuchu Han,en,False,True,https://en.wikipedia.org/wiki/Fuchu_Han,True
Matsuoka Han,en,False,True,https://en.wikipedia.org/wiki/Matsuoka_Han,True
Mito Han,en,False,True,https://en.wikipedia.org/wiki/Mito_Han,True
Yatabe Han,en,False,True,https://en.wikipedia.org/wiki/Yatabe_Han,True
Iwatsuki Han,en,False,True,https://en.wikipedia.org/wiki/Iwatsuki_Han,True
Okabe Han,en,False,True,https://en.wikipedia.org/wiki/Okabe_Han,True
Oshi Han,en,False,True,https://en.wikipedia.org/wiki/Oshi_Han,True
Kanazawa Han,en,False,True,https://en.wikipedia.org/wiki/Kanazawa_Han,True
Kawagoe Han,en,False,True,https://en.wikipedia.org/wiki/Kawagoe_Han,True
Itoigawa Han,en,False,True,https://en.wikipedia.org/wiki/Itoigawa_Han,True
Kurokawa Han,en,False,True,https://en.wikipedia.org/wiki/Kurokawa_Han,True
Shiiya Han,en,False,True,https://en.wikipedia.org/wiki/Shiiya_Han,True
Shibata Han,en,False,True,https://en.wikipedia.org/wiki/Shibata_Han,True
Takada Han,en,False,True,https://en.wikipedia.org/wiki/Takada_Han,True
Nagaoka Han,en,False,True,https://en.wikipedia.org/wiki/Nagaoka_Han,True
Mikkaichi Han,en,False,True,https://en.wikipedia.org/wiki/Mikkaichi_Han,True
Mineyama Han,en,False,True,https://en.wikipedia.org/wiki/Mineyama_Han,True
Murakami Han,en,False,True,https://en.wikipedia.org/wiki/Murakami_Han,True
Muramatsu Han,en,False,True,https://en.wikipedia.org/wiki/Muramatsu_Han,True
Yoita Han,en,False,True,https://en.wikipedia.org/wiki/Yoita_Han,True
Ōno Han,en,False,True,https://en.wikipedia.org/wiki/%C5%8Cno_Han,True
Katsuyama Han,en,False,True,https://en.wikipedia.org/wiki/Katsuyama_Han,True
Sabae Han,en,False,True,https://en.wikipedia.org/wiki/Sabae_Han,True
Fukui Han,en,False,True,https://en.wikipedia.org/wiki/Fukui_Han,True
Maruyama Han,en,False,True,https://en.wikipedia.org/wiki/Maruyama_Han,True
Maruoka Han,en,False,True,https://en.wikipedia.org/wiki/Maruoka_Han,True
Toyama Han,en,False,True,https://en.wikipedia.org/wiki/Toyama_Han,True
Kaga Han,en,False,True,https://en.wikipedia.org/wiki/Kaga_Han,True
